date;cluster_center_lat;cluster_center_lon;Country/Sea;Region;DAY/NIGHT;cluster_category;cluster_indicators;ndetection;cluster_number;indicators
2024-06-10;23.728573;51.960827;United Arab Emirates;Abu Dhabi;DAY;fire_type_1;C2H4_1:24,CO2_1:113,CO2_2:48,CO_3:69,HCOOH_1:32,HNO3_1:205,NH3_2:5,NH3_3:4;500;L3_6;
2024-06-10;18.552174;52.410435;Oman;Dhofar;NIGHT;others;HCOOH_1:13,HNO3_1:38,HNO3_2:1,NH3_2:1;53;L3_7;
2024-06-10;25.24494;1.9483;Algeria;Tamanghasset;DAY;fire_type_1;C2H4_1:16,CO2_1:59,CO2_2:6,CO_3:50,HCOOH_1:4;135;L3_8;
2024-06-10;21.11169;31.033749;Sudan;Northern;DAY;fire_type_1;C2H4_1:1,CO2_1:1,CO_3:3;5;L3_10;
2024-06-10;22.259201;46.708824;Saudi Arabia;Ar Riyad;NIGHT;others;CO2_1:2,HCOOH_1:1,HNO3_1:6,NH3_2:1,NH3_3:1;11;L3_9;
2024-06-10;26.896517;25.158373;Egypt;Al Wadi al Jadid;DAY;fire_type_1;C2H4_1:5,CO2_1:16,CO2_2:22,CO_3:21,HCOOH_1:2,HNO3_1:29;95;L3_12;
2024-06-10;22.5564;28.659065;Egypt;Al Wadi al Jadid;NIGHT;extrem;CO_3 CO2_1 Band_1 Band_3;4;L3_3;
2024-06-10;25.645164;13.055762;Libya;Murzuq;DAY;fire_type_1;C2H4_1:3,CO2_1:3,CO_3:2;8;L3_13;
2024-06-10;27.896046;76.219925;India;Rajasthan;DAY;fire_type_1;CO2_1:23,CO_3:7,HCOOH_1:21,NH3_2:25;76;L3_14;
2024-06-10;30.614641;44.398525;Iraq;Al-Muthannia;DAY;fire_type_1;CO2_1:3,CO_3:3,HNO3_1:8;14;L3_15;
2024-06-10;30.761387;65.31597;Afghanistan;Kandahar;DAY;extrem;SO2_3 Band_1 Band_2 Band_3;4;L3_5;
2024-06-10;32.716965;55.879444;Iran;Yazd;NIGHT;others;HNO3_1:5;5;L3_11;
2024-06-10;35.990055;116.75902;China;Shandong;DAY;fire;HCOOH_1:125,NH3_2:79,NH3_3:47;251;L3_16;
2024-06-10;37.046326;68.851265;Afghanistan;Kunduz;DAY;extrem;HCOOH_1 NH3_2 Band_1 Band_3;4;L3_4;
2024-06-10;39.127373;81.37389;China;Xinjiang Uygur;DAY;fire_type_1;CO2_1:28,CO_3:3,HCOOH_1:7,HNO3_1:4,NH3_2:2,NH3_3:1;45;L3_17;
2024-06-10;42.59971;90.14655;China;Xinjiang Uygur;DAY;fire_type_1;CO2_1:2,CO_3:1,HCOOH_1:1,NH3_2:2,NH3_3:1;7;L3_18;
2024-06-10;63.936176;-22.472038;Iceland;Suðurnes;DAY;extrem;CO_1 CO_3 CO2_1 Band_3;4;L3_2;
2024-06-10;64.81789;127.639114;Russian Federation;Sakha;DAY;extrem;CO_1 CO_2 CO_3 CO2_1 Band_3;5;L3_1;
2024-06-10;-35.17744;-84.645485;South Pacific Ocean;;NIGHT;Unclassified;C2H4:2;2;L2_1;
2024-06-10;35.743904;49.651752;Iran;Qazvin;DAY;Unclassified;C2H2:6,C2H4:20,CaCO3:18,CH3OH:24,HCN:1,HCOOH:10,HNO3:31,CO:87,CO2:80,NH3:71,SO2:63;411;L2_2;
2024-06-10;-35.512283;92.57704;Indian Ocean;;NIGHT;Unclassified;SO2:2;2;L2_4;
2024-06-10;-30.473932;-86.96106;South Pacific Ocean;;DAY;Unclassified;NH3:1;1;L2_5;
2024-06-10;-7.6395473;-87.08085;South Pacific Ocean;;DAY;Unclassified;NH3:2;2;L2_6;
2024-06-10;1.6524631;81.5604;Indian Ocean;;NIGHT;Unclassified;NH3:2;2;L2_7;
2024-06-10;29.51923;104.272804;China;Sichuan;NIGHT;Unclassified;NH3:1;1;L2_8;
2024-06-10;29.977982;31.432383;Egypt;Al Qahirah;NIGHT;Unclassified;C2H4:2,CaCO3:1,HCOOH:4,HNO3:6,CO:1,CO2:2,NH3:5,SO2:2;23;L2_3;
2024-06-10;63.86542;70.791016;Russian Federation;Khanty-Mansiy;DAY;Unclassified;NH3:2;2;L2_9;
2024-06-10;-28.719488;115.10232;Australia;Western Australia;DAY;Unclassified;HNO3:1;1;L2_10;
2024-06-10;-22.413399;116.33432;Australia;Western Australia;DAY;Unclassified;HCOOH:1;1;L2_11;
2024-06-10;-18.3911;122.9201;Australia;Western Australia;DAY;Unclassified;CaCO3:1;1;L2_12;
2024-06-10;-8.87609;122.51096;Savu Sea;;DAY;Unclassified;NH3:1;1;L2_13;
2024-06-10;35.05394;116.30731;China;Shandong;DAY;Unclassified;CaCO3:1,NH3:7;8;L2_14;
